Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
221,1174,1.766,1558,1.825
222,1102,1.782,1510,1.856
223,1145,1.739,1538,1.873
224,1478,1.762,1583,1.969
225,1154,1.796,1458,2.085
226,1283,1.829,1605,1.949
227,1190,1.879,1544,1.967
228,1197,1.847,1592,2.402
229,1215,1.844,1462,1.977
230,1346,1.846,1554,2.057
231,1453,1.899,1495,2.042
232,1177,2.328,1538,2.055
233,1299,1.94,1465,2.028
234,1354,1.985,1591,2.068
235,1188,2.095,1458,2.252
236,1595,2.001,1657,2.165
237,1189,2.151,1634,2.114
238,1206,2.068,1562,2.144
239,1612,2.227,1582,2.142
240,1211,2.043,1617,2.227
241,1769,2.048,1657,2.232
242,1456,2.571,1721,2.359
243,1376,2.123,1679,2.224
244,1395,2.17,1699,2.293
245,1187,2.255,1702,2.351
246,1226,2.151,1582,2.34
247,1336,2.184,1628,2.318
248,1431,2.153,1632,2.439
249,1577,2.204,1595,2.429
250,1321,2.374,1656,2.506
251,1455,2.346,1607,2.45
252,1248,2.317,1596,2.545
253,1222,2.313,1748,2.504
254,1670,2.307,1721,2.511
255,1341,2.578,1606,2.465
256,1267,2.467,1649,2.457
257,1414,2.433,1860,2.553
258,1309,2.383,1744,2.622
259,1363,2.577,1816,2.56
260,1908,2.475,1864,2.74
261,1414,2.49,1686,2.844
262,1593,2.476,1699,2.628
263,1385,2.642,1916,2.689
264,1402,2.518,1878,2.729
265,1445,2.521,1740,2.742
266,1385,2.551,1692,3.03
267,1503,2.506,1712,2.678
268,1324,2.64,1842,2.784
269,1739,2.658,1997,2.856
270,1390,2.691,1717,2.832
271,1555,2.688,1797,4.041
272,1415,2.723,1868,2.838
273,1617,2.722,1746,2.992
274,1556,2.713,1730,2.851
275,1261,2.797,1806,2.84
276,1798,3.062,1954,2.983
277,1426,2.914,2059,3.027
278,1736,2.976,1802,3.051
279,1405,3.273,1794,2.943
280,1621,2.934,1984,3.036
281,1578,2.887,1809,3.01
282,1532,2.881,1925,3.146
283,1345,4.577,1908,3.322
284,1553,3.021,1763,3.285
285,1750,3.057,2012,3.31
286,1640,3.102,1873,3.893
287,1396,2.914,1845,3.23
288,1494,3.335,1879,3.381
289,1607,3.031,1879,3.189
290,1600,3.187,1951,3.188
291,1577,3.102,1880,3.256
292,1469,3.155,1919,3.371
293,1643,4.075,2011,3.352
294,1579,3.179,1966,3.486
295,1459,3.708,2055,3.305
296,1571,3.135,1895,3.502
297,1866,3.408,2082,3.43
298,1912,3.194,1974,3.521
299,1873,3.251,2096,3.466
300,2003,3.385,1902,3.494
301,1646,3.687,2073,3.534
302,1796,3.551,1995,3.534
303,1713,3.705,1909,3.585
304,1651,3.374,1948,3.584
305,2002,3.646,1999,3.771
306,1528,3.444,1956,3.681
307,1895,3.774,1933,3.711
308,1593,3.59,2100,3.793
309,1552,6.497,1971,4.099
310,2037,3.711,2060,4.289
311,1720,3.68,2045,3.969
312,1753,3.669,2180,4.117
313,1686,3.834,2077,3.859
314,1720,3.925,2172,3.864
315,1522,3.542,1994,3.838
316,1981,3.87,2120,3.852
317,1526,3.685,2067,3.982
318,2076,3.892,2098,3.87
319,1772,3.812,2091,3.813
320,1697,3.818,2079,3.882
321,1664,3.752,2152,3.956
322,1879,3.914,2185,3.961
323,1514,3.862,2224,4.239
324,1636,3.9,2152,4.258
325,1913,3.988,2185,4.577
326,2172,4.216,2204,4.076
327,2039,4.181,2230,4.173
328,1809,4.149,2350,4.299
329,1727,4.539,2124,4.407
330,1919,4.018,2235,4.602
331,2150,4.239,2308,4.166
332,2146,4.197,2293,4.783
333,2132,3.997,2294,4.416
334,1594,5.132,2293,4.637
335,2084,4.428,2308,5.307
336,2153,4.314,2410,4.69
337,1877,5.182,2362,4.394
338,1726,4.565,2269,4.79
339,1766,4.155,2320,5.807
340,2074,4.601,2170,4.626
341,1886,4.19,2416,4.709
342,2002,4.35,2330,4.49
343,1734,4.616,2313,4.974
344,1984,4.324,2257,4.78
345,2381,4.506,2460,4.778
346,1875,4.808,2304,5.14
347,2569,4.526,2562,4.971
348,2031,4.887,2449,4.659
349,2041,4.479,2418,4.892
350,2565,4.559,2269,4.629
351,1812,4.803,2314,4.776
352,1969,4.599,2293,5.841
353,2046,4.667,2289,5.031
354,1764,4.961,2404,4.889
355,1868,5.275,2344,5.371
356,2038,4.906,2482,5.196
357,1974,5.201,2315,5.19
358,1844,5.092,2470,5.222
359,2575,4.888,2396,5.537
360,1969,4.932,2359,5.308
361,2148,5.261,2481,5.179
